Cell Type;clust_basic;Gene;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;COL6A2;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;DCN;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;NNMT;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;C1R;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;CRISPLD2;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;MMP14;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;COL6A1;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;SLC39A14;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;IGFBP4;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;SOD2;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;PLPP3;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;SELENOM;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;CTSK;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;APOD;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;AEBP1;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;VCAN;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;MT2A;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;GYPC;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;SERPING1;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;CTSL;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;NAMPT;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;CFH;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;SERPINE2;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 1;CFD;Fb;1;1-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;DCN;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;COL6A2;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts (Fb);Cluster 2;COL6A1;Fb;2;2-Fb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
